,0,1,2,3,4,5,6,y_step_1,y_step_2,y_step_3
2018-07-07,0.07749727717028032,-0.0354260322495258,0.0,0.531287475162685,0.3733333333333333,0.7202851594252712,0.693678087524546,560.0,560.0,1100.0
2018-07-08,0.08667151568661335,-0.004245749916981138,0.031980676328502426,0.5370851471319611,0.3733333333333333,0.7232617254437389,0.6905740195722293,560.0,1100.0,1400.0
2018-07-09,0.1116501726238319,0.04775468856924216,0.08634782608695656,0.556377423625122,0.7333333333333333,0.7262249146041543,0.6874571793269665,1100.0,1400.0,559.0
2018-07-10,0.06533022606503357,-0.014823010863922816,0.019188405797101456,0.5169931858911241,0.9333333333333333,0.7291746721017914,0.6843276244352883,1400.0,559.0,559.0
2018-07-11,0.025857129730729074,-0.02667247294122852,0.003198067632850243,0.4790083972102366,0.37266666666666665,0.7321109433803455,0.6811854127788853,559.0,559.0,559.0
2018-07-12,0.025814335662195837,-0.029884284110047312,0.0,0.4793082734049676,0.37266666666666665,0.7350336741329413,0.6780306024735381,559.0,559.0,559.0
2018-07-13,0.04251326107518461,-0.009160042242873886,0.0223864734299517,0.493702512470918,0.37266666666666665,0.7379428103031384,0.6748632518680406,559.0,559.0,559.0
2018-07-14,0.08113327672491483,-0.016517506649902453,0.019188405797101456,0.532886823804688,0.37266666666666665,0.7408382980859305,0.6716834195431223,559.0,559.0,1200.0
2018-07-15,0.12968940543713556,0.1616108090111821,0.20147826086956527,0.5621751015524978,0.37266666666666665,0.743720083928741,0.6684911643103641,559.0,1200.0,559.0
2018-07-16,0.13727362603125265,-0.03861920319813649,0.003198067632850243,0.5910635622483369,0.7999999999999999,0.7465881145324131,0.6652865452111115,1200.0,559.0,559.0
2018-07-17,0.13031630664029048,-0.037873198604249536,0.003198067632850243,0.5840663616679649,0.37266666666666665,0.7494423368521955,0.6620696215153814,559.0,559.0,1500.0
2018-07-18,0.13762838799298766,-0.04187364265642161,0.0,0.5917632733693381,0.37266666666666665,0.7522826980987237,0.6588404527207664,559.0,1500.0,1500.0
2018-07-19,0.15123649438076772,0.053159210352880536,0.09594202898550729,0.5951619179069212,1.0,0.7551091457389965,0.6555990985513349,1500.0,1500.0,1500.0
2018-07-20,0.10363690902274138,-0.03822887690112847,0.0,0.5575769462780045,1.0,0.757921627497347,0.6523456189565258,1500.0,1500.0,1500.0
2018-07-21,0.05304726437023293,-0.032804358463336736,0.0,0.5066973084417441,1.0,0.7607200913564104,0.6490800741100397,1500.0,1500.0,1500.0
2018-07-22,0.03466415540366194,0.03671118210489987,0.06715942028985511,0.48100759567375917,1.0,0.7635044855580848,0.6458025244087268,1500.0,1500.0,1500.0
2018-07-23,-0.008134355163432168,-0.023027706550738485,0.003198067632850243,0.44482206416103054,1.0,0.7662747586044898,0.642513030471469,1500.0,1500.0,1500.0
2018-07-24,-0.05310155528841943,-0.02142245939400538,0.0,0.39994001575712446,1.0,0.7690308592589181,0.6392116531380589,1500.0,1500.0,1500.0
2018-07-25,-0.09414973969487005,-0.017021032290096556,0.0,0.358656532333157,1.0,0.7717727365467835,0.6358984534680747,1500.0,1500.0,1500.0
2018-07-26,-0.12978807030763148,-0.009983281642075835,0.003198067632850243,0.32247099784126476,1.0,0.7745003397565633,0.6325734927397513,1500.0,1500.0,1500.0
2018-07-27,-0.16055625957418324,-0.0034677361154515666,0.006396135265700486,0.291183521630046,1.0,0.7772136184407367,0.6292368324488459,1500.0,1500.0,1500.0
2018-07-28,-0.19304307294005685,-0.006417109031730692,0.0,0.259196316423413,1.0,0.7799125224167177,0.6258885343075018,1500.0,1500.0,1500.0
2018-07-29,-0.2207012008878421,0.009414156877526883,0.012792270531400972,0.23000798251212018,1.0,0.782597001767783,0.6225286602431062,1500.0,1500.0,1500.0
2018-07-30,-0.24999370293818166,-0.00031052843424540723,0.0,0.20191923039612902,1.0,0.7852670068439954,0.619157272397145,1500.0,1500.0,900.0
